original_index,type,node,option_a,option_b,ground_truth,model_choice,is_correct,status
187,preposition,interest,interest for the,interest in the,B,B,1,success
192,preposition,interest,interest in whether,interest for whether,A,A,1,success
186,preposition,independent,independent from those factors,independent of those factors,B,B,1,success
190,preposition,interest,interest in what,interest for what,A,A,1,success
194,preposition,interest,interest in developing,interest for developing,A,A,1,success
197,preposition,knowledge,knowledge in how,knowledge of how,B,B,1,success
198,preposition,knowledge,knowledge of this,knowledge on this,A,A,1,success
202,infinitive,make,make it to appear,make it appear,B,A,0,success
201,preposition,make,make it feel,make them to feel,A,A,1,success
204,preposition,need,the need for,the need of,A,A,1,success
196,preposition,knowledge,knowledge in a,knowledge of a,B,B,1,success
195,preposition,knowledge,knowledge in the,knowledge of the,B,B,1,success
200,preposition,knowledge,knowledge of what,knowledge on what,A,A,1,success
199,preposition,knowledge,knowledge of their,knowledge on their,A,A,1,success
203,infinitive,make,make it to seem,make it seem,B,B,1,success
206,preposition,need,no need for,no need of,A,A,1,success
211,preposition,provide,provide people information,provide people with information,B,B,1,success
208,preposition,need,in need for,in need of,B,B,1,success
213,preposition,reason,reason for this,reason of this,A,A,1,success
214,preposition,reason,reason of the,reason for the,B,B,1,success
212,preposition,provide,provide it with more,provides it more,A,A,1,success
205,preposition,need,a need of,a need for,B,A,0,success
207,preposition,need,an urgent need of,an urgent need for,B,A,0,success
217,preposition,reason,reason for not,reason of not,A,A,1,success
210,preposition,provide,provides them the,provides them with the,B,B,1,success
215,preposition,reason,reason for their,reason of their,A,A,1,success
209,preposition,provide,provide us a,provide us with a,B,B,1,success
220,preposition,regarding,regarding their,regarding to their,A,A,1,success
216,preposition,reason,reason of a,reason for a,B,A,0,success
219,preposition,regarding,regarding the,regarding to the,A,A,1,success
221,preposition,regarding,regarding a,regarding to a,A,A,1,success
227,preposition,attend,attend to meetings,attend meetings,B,A,0,success
224,preposition,regarding,regarding its,regarding to its,A,A,1,success
226,preposition,attend,attend to school,attend school,B,A,0,success
222,preposition,regarding,regarding to how,regarding how,B,B,1,success
228,preposition,attend,attend to sessions,attend sessions,B,A,0,success
225,preposition,regarding,regarding to whether,regarding whether,B,A,0,success
101, ing & to,worth,worth to note,worth noting,B,B,1,success
218,preposition,reason,reason why,reason for why,A,A,1,success
223,preposition,regarding,regarding to what,regarding what,B,B,1,success
232,preposition,opposite,the opposite of the,the opposite to the,A,A,1,success
230,preposition,answer,to answer the questionnaire,to answer to the questionnaire,A,A,1,success
238,preposition,reach,reach to a decision,reach a decision,B,B,1,success
233,preposition,opposite,the opposite to what,the opposite of what,B,A,0,success
234,preposition,opposite,the exact opposite of,the exact opposite to,A,A,1,success
237,preposition,reach,reach an agreement,reach to an agreement,A,A,1,success
236,preposition,reach,reach a level,reach to a level,A,A,1,success
235,preposition,reach,reach a conclusion,reach to a conclusion,A,A,1,success
241,preposition,lack,to lack resources,to lack of resources,A,A,1,success
240,preposition,lack,to lack of the capacity,to lack the capacity,B,A,0,success
247,preposition,related,related with this,related to this,B,B,1,success
231,preposition,answer,answering questions,answering to questions,A,A,1,success
243,preposition,lack,to lack of the ability,to lack the ability,B,A,0,success
249,preposition,responsible,responsible of the,responsible for the,B,B,1,success
244,preposition,related,related with the,realted to the,B,A,0,success
242,preposition,lack,to lack the power,to lack of the power,A,A,1,success
246,preposition,related,related to their,related with their,A,A,1,success
251,preposition,responsible,responsible for the,responsible by the,A,A,1,success
255,preposition,similar,similar to those,similar as those,A,A,1,success
257,preposition,recommend,recommend you,recommend to you,A,A,1,success
239,preposition,reach,reach a point,reach to a point,A,A,1,success
254,preposition,similar,similar as that,similar to that,B,B,1,success
245,preposition,related,realted to a,related with a,A,A,1,success
252,preposition,responsible,responsible by this,responsible for this,B,B,1,success
250,preposition,responsible,responsible for ensuring,responsible of ensuring,A,A,1,success
256,preposition,similar,similar as each other,similar to each other,B,B,1,success
253,preposition,responsible,responsible by what,responsible for what,B,B,1,success
258,preposition,recommend,recommend them,recommend to them,A,A,1,success
267,preposition,spend,spend time on something,spend time in something,A,A,1,success
266,preposition,spend,spend less on something,spend less in something,A,A,1,success
259,preposition,recommend,recommend him,recommend to him,A,A,1,success
265,preposition,spend,spend more in something,spend more on something,B,B,1,success
263,preposition,solution,solution of the,solution to the,B,A,0,success
264,preposition,solution,solution of this,solution to this,B,A,0,success
261,preposition,recommend,recommend to people,recommend people,B,A,0,success
260,preposition,recommend,recommend her,recommend to her,A,A,1,success
262,preposition,solution,solution of the problem,solution to the problem,B,A,0,success
268,preposition,spend,spend money in something,spend money on something,B,B,1,success
273,preposition,typical,typical for a,typical of a,B,B,1,success
269,preposition,spend,time spent in something,time spent on something,B,B,1,success
272,preposition,typical,typical of the,typical for the,A,A,1,success
270,preposition,stress,to stress the importance,to stress on the importance,A,A,1,success
271,preposition,stress,to stress on the need,to stress the need,B,B,1,success
278,singular & plural,advice,seek advices,seek advice,B,B,1,success
280,singular & plural,advice,practical advice,practical advices,A,A,1,success
276,singular & plural,advice,give advice,give an advice,A,A,1,success
277,singular & plural,advice,provide advice,provide advices,A,A,1,success
279,singular & plural,advice,expert advices,expert advice,B,B,1,success
281,singular & plural,advice,good advice,good advices,A,A,1,success
282,singular & plural,criterion,selection criterions,selection criteria,B,B,1,success
275,preposition,typical,typical for those,typical of those,B,B,1,success
283,singular & plural,criterion,evaluation criterions,evaluation criteria,B,B,1,success
287,singular & plural,damage,cause (some) damage,cause a damage,A,A,1,success
285,singular & plural,criterion,meet the criterions,meet the criteria,B,B,1,success
288,singular & plural,damage,prevent damages,prevent damage,B,A,0,success
284,singular & plural,criterion,an important criteria,an important criterion,B,B,1,success
290,singular & plural,damage,severe damages,severe damage,B,A,0,success
291,singular & plural,damage,further damage,further damages,A,A,1,success
293,singular & plural,evidence,a further evidence,further evidence,B,A,0,success
295,singular & plural,evidence,gather evidence,gather evidences,A,A,1,success
289,singular & plural,damage,serious damages,serious damage,B,A,0,success
292,singular & plural,evidence,a clear evidence,clear evidence,B,A,0,success
297,singular & plural,information,obtain an information,obtain information,B,B,1,success
299,singular & plural,information,the informations gathered,the information gathered,B,B,1,success
286,singular & plural,damage,suffer (some) damage,suffer a damage,A,A,1,success
300,singular & plural,information,relevant informations,relevant information,B,B,1,success
301,singular & plural,information,detailed information,detailed information,B,A,0,success
294,singular & plural,evidence,empirical evicences,empirical evidence,B,B,1,success
296,singular & plural,evidence,the evidences presented,the evidence presented,B,B,1,success
304,singular & plural,knowledge,a prior knowledges,prior knowledge,B,B,1,success
303,singular & plural,knowledge,a new knowledge,new knowledge,B,B,1,success
305,singular & plural,knowledge,scientific knowledges,scientific knowledge,B,B,1,success
302,singular & plural,information,useful information,a useful information,A,A,1,success
306,singular & plural,knowledge,gaps in knowledeges,gaps in knowledge,B,B,1,success
309,singular & plural,person,other persons,other people,B,A,0,success
311,singular & plural,person,number of persons,number of people,B,B,1,success
308,singular & plural,person,many persons,many people,B,B,1,success
312,singular & plural,person,group of persons,group of people,B,B,1,success
298,singular & plural,information,provide informations,provide (some) information,B,B,1,success
307,singular & plural,knowledge,knowledge and skills,knowledges and skills,A,A,1,success
314,singular & plural,person,the majority of persons,the majority of people,B,B,1,success
310,singular & plural,person,most people,most persons,A,A,1,success
315,singular & plural,phenomenon,a new phenomenon,a new phenomena,A,A,1,success
317,singular & plural,phenomenon,a similar phenomenon,a similar phenomena,A,A,1,success
313,singular & plural,person,% of persons,% of people,B,A,0,success
318,singular & plural,phenomenon,other phenomena,other phenomenon,A,A,1,success
316,singular & plural,phenomenon,a complex phenomena,a complex phenomenon,B,B,1,success
322,singular & plural,progress,measure progresses,measure progress,B,B,1,success
323,singular & plural,progress,a steady progress,steady progress,B,A,0,success
320,singular & plural,progress,make progress,make progresses,A,A,1,success
328,singular & plural,research,recent researches,recent research,B,B,1,success
326,singular & plural,research,qualitative researches,qualitative research,B,B,1,success
327,singular & plural,research,future researches,future research,B,B,1,success
325,singular & plural,progress,considerable progresses,considerable progress,B,B,1,success
324,singular & plural,progress,a substantial progress,substantial progress,B,B,1,success
321,singular & plural,progress,achieve good progress,achieve a good progress,A,A,1,success
319,singular & plural,phenomenon,such phenomenon,such phenomena,B,A,0,success
335,lexical,dependant,heavily dependant,heavily dependent,B,B,1,success
337,lexical,dependant,largely dependent,largely dependant,A,A,1,success
336,lexical,dependant,highly dependent,highly dependant,A,A,1,success
330,singular & plural,research,research shows that,researches show that,A,A,1,success
331,singular & plural,trouble,have a trouble,have trouble,B,B,1,success
332,singular & plural,trouble,cause trouble,cause a trouble,A,A,1,success
333,singular & plural,trouble,have troubles getting,have trouble getting,B,A,0,success
334,singular & plural,trouble,have troubles finding,have trouble finding,B,A,0,success
329,singular & plural,research,conduct researches,conduct research,B,B,1,success
338,lexical,dependant,entirely dependant,entirely dependent,B,B,1,success
229,preposition,answer,to answer questions,to answer to questions,A,A,1,success
339,lexical,dependant,become dependent,become dependant,A,A,1,success
344,lexical,economical,social and economic,social and economical,A,A,1,success
347,lexical,economical,economic development,economical development,A,A,1,success
345,lexical,economical,political and economical,political and economic,B,B,1,success
343,lexical,accept,accept to pay,agree to pay,B,B,1,success
342,lexical,accept,accept to take part,agree to take part,B,B,1,success
341,lexical,accept,agree to participate,accept to participate,A,A,1,success
349,lexical,effect,affect the behaviour,effect the behaviour,A,A,1,success
348,lexical,economical,economic activity,economical activity,A,A,1,success
346,lexical,economical,economic growth,economical growth,A,A,1,success
350,lexical,effect,effect the outcome,affect the outcome,B,A,0,success
248,preposition,related,related with its,related to its,B,B,1,success
354,lexical,effect,negatively effected,negatively affected,B,B,1,success
355,lexical,less,less people,fewer people,B,B,1,success
340,lexical,dependant,remain dependant,remain dependent,B,B,1,success
352,lexical,effect,directly affected,directly effected,A,A,1,success
359,lexical,less,fewer differences,less differences,A,A,1,success
357,lexical,less,fewer cases,less cases,A,A,1,success
358,lexical,less,less hours,fewer hours,B,B,1,success
353,lexical,effect,significantly affected,significantly effected,A,A,1,success
351,lexical,effect,adversely effected,adversely affected,B,B,1,success
360,lexical,less,less options,fewer options,B,A,0,success
361,formality,be,is not,isn't,A,A,1,success
365,formality,can,cannot,can't,A,A,1,success
363,formality,be,aren't,are not,B,A,0,success
364,formality,be,were not,weren't,A,A,1,success
356,lexical,less,less resources,fewer resources,B,A,0,success
368,formality,do,does not,doesn't,A,A,1,success
367,formality,do,don't,do not,B,A,0,success
362,formality,be,was  not,wasn't,A,A,1,success
366,formality,can,could not,couldn't,A,A,1,success
369,formality,do,didn't,did not,B,B,1,success
274,preposition,typical,typical for many,typical of many,B,B,1,success
